Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,2. GraphQL (TS) - Músicas,9612,0,50,77.98050673512267,9.419411000180844,486.32624300034877,53840.0,80.1051104527645,0.0,50,86,120,140,180,210,260,310,410,490,490
,Aggregated,9612,0,50,77.98050673512267,9.419411000180844,486.32624300034877,53840.0,80.1051104527645,0.0,50,86,120,140,180,210,260,310,410,490,490
