Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,4. gRPC (TS) - Músicas,12595,0,9,9.667010718539103,5,32,27689.0,96.23334559383905,0.0,9,10,11,11,13,14,16,18,26,31,32
,Aggregated,12595,0,9,9.667010718539103,5,32,27689.0,96.23334559383905,0.0,9,10,11,11,13,14,16,18,26,31,32
