Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,3. SOAP (PY) - Músicas,1654,0,1800.0,1850.6146312648655,56.48768699757056,4260.47326600019,98911.0,13.786655060620888,0.0,1800,2400,2900,3100,3600,3700,3900,4000,4200,4300,4300
,Aggregated,1654,0,1800.0,1850.6146312648655,56.48768699757056,4260.47326600019,98911.0,13.786655060620888,0.0,1800,2400,2900,3100,3600,3700,3900,4000,4200,4300,4300
